E_NO , marks 
E16012, 1
E16022, 1
E16025, 1
E16039, 1
E16049, 1
E16054, 1
E16055, 0
E16057, 0
E16061, 0
E16068, 1
E16069, 0
E16070, 0
E16076, 1
E16078, 1
E16081, 0
E16083, 0
E16086, 1
E16087, 0
E16088, 1
E16089, 1
E16094, 1
E16096, 1
E16115, 0
E16126, 1
E16127, 0
E16134, 1
E16156, 1
E16168, 0
E16172, 1
E16173, 0
E16200, 1
E16203, 1
E16217, 0
E16221, 0
E16222, 1
E16223, 0
E16232, 0
E16261, 1
E16267, 1
E16275, 1
E16276, 1
E16286, 0
E16290, 1
E16313, 0
E16320, 1
E16332, 1
E16351, 1
E16360, 1
E16364, 0
E16366, 0
E16368, 1
E16369, 0
E16377, 0
E16388, 0
E16389, 0
E16394, 1
E16396, 0
E16399, 1
E1642, 1
Total, 59
Correct, 34
